"693, 363","695, 379","718, 361","720, 377",,
"629, 381","629, 396","656, 380","656, 396",,
"797, 386","800, 402","818, 384","821, 399",,
"593, 342","592, 358","616, 342","616, 358",,
"653, 308","653, 319","673, 307","673, 318",,
"699, 333","700, 343","716, 332","717, 342",,
"667, 368","667, 379","686, 367","686, 379",,
"774, 330","775, 341","788, 329","790, 339",,
"636, 319","635, 329","651, 317","651, 329",,
"633, 484","637, 564","791, 476","795, 558",,
"812, 461","826, 543","947, 431","961, 509",,
"563, 455","559, 528","695, 463","693, 541",,
"881, 487","896, 572","995, 452","1009, 527",,
"459, 435","453, 508","573, 456","568, 533",,
"720, 321","720, 329","736, 320","736, 329",,
"713, 299","713, 308","726, 299","727, 308",,
"654, 365","654, 374","668, 365","668, 373",,
"742, 271","742, 280","753, 271","754, 279",,
"635, 316","635, 323","647, 315","647, 323",,
"619, 303","619, 310","631, 302","631, 310",,
"604, 372","604, 378","616, 371","615, 378",,
"654, 366","654, 374","668, 365","668, 373",,
"638, 386","639, 427","717, 382","719, 422",,
"767, 407","772, 447","828, 399","835, 437",,
"603, 390","602, 429","673, 391","673, 430",,
"911, 429","918, 471","964, 419","972, 459",,
"538, 406","535, 444","594, 408","593, 449",,
"688, 364","689, 391","739, 362","740, 388",,
"791, 367","794, 393","833, 362","837, 388",,
"657, 391","656, 417","703, 390","703, 416",,
"838, 408","843, 436","873, 403","878, 430",,
"582, 356","579, 382","620, 359","618, 385",,
"647, 373","647, 392","685, 371","686, 390",,
"750, 386","752, 405","780, 383","783, 402",,
"629, 347","629, 367","664, 346","664, 367",,
"804, 396","807, 417","829, 393","833, 413",,
"623, 367","622, 386","651, 366","650, 386",,
"649, 357","649, 372","680, 355","680, 371",,
"674, 287","677, 302","700, 285","702, 299",,
"639, 404","638, 420","667, 403","667, 419",,
"736, 385","739, 401","756, 384","759, 398",,
"584, 347","583, 362","607, 346","606, 361",,
"650, 324","650, 335","671, 323","671, 334",,
"766, 297","767, 307","782, 296","784, 306",,
"605, 398","604, 409","624, 398","624, 408",,
"755, 404","757, 415","769, 404","772, 413",,
"623, 321","623, 332","639, 320","639, 331",,
"605, 349","608, 434","771, 341","776, 425",,
"697, 287","709, 372","834, 275","846, 354",,
"493, 340","490, 416","631, 336","629, 416",,
"845, 270","866, 359","954, 248","976, 326",,
"498, 270","495, 348","615, 269","612, 352",,
"626, 347","626, 355","642, 346","642, 354",,
"681, 285","682, 292","694, 285","695, 291",,
"657, 403","657, 411","671, 402","671, 410",,
"763, 361","764, 368","774, 361","774, 367",,
"592, 306","591, 314","603, 306","603, 313",,
"565, 340","565, 346","578, 340","578, 345",,
"657, 404","657, 410","669, 403","669, 410",,
"682, 372","682, 377","691, 372","691, 377",,
"643, 361","645, 402","723, 357","726, 397",,
"748, 331","755, 371","810, 326","818, 363",,
"634, 383","632, 422","704, 382","703, 422",,
"843, 392","853, 434","894, 386","903, 425",,
"512, 348","510, 386","569, 346","567, 385",,
"643, 348","644, 373","695, 345","697, 370",,
"710, 309","715, 335","752, 306","756, 331",,
"663, 404","663, 429","710, 402","710, 427",,
"774, 398","780, 425","808, 395","814, 420",,
"572, 337","569, 362","610, 337","607, 363",,
"686, 352","687, 371","724, 349","726, 368",,
"696, 290","700, 309","727, 288","731, 306",,
"590, 360","589, 380","627, 358","627, 378",,
"749, 400","752, 419","775, 398","778, 416",,
"554, 368","552, 388","582, 368","580, 388",,
"657, 340","656, 356","688, 338","688, 354",,
"675, 345","677, 361","701, 343","703, 359",,
"657, 343","656, 359","684, 342","684, 358",,
"763, 323","765, 339","785, 322","787, 337",,
"562, 340","562, 355","584, 339","584, 355",,
"660, 342","660, 353","680, 341","680, 352",,
"704, 336","705, 346","721, 335","722, 345",,
"569, 356","569, 367","588, 356","588, 366",,
"759, 331","760, 341","773, 330","775, 340",,
"597, 340","597, 350","611, 339","611, 349",,
"657, 361","659, 449","831, 354","835, 444",,
"744, 319","751, 407","887, 310","895, 392",,
"504, 336","502, 414","641, 335","639, 417",,
"786, 330","800, 419","903, 312","916, 393",,
"522, 297","518, 367","630, 298","626, 377",,
"659, 348","659, 356","674, 348","674, 355",,
"729, 322","729, 329","741, 322","742, 329",,
"728, 359","728, 366","742, 358","742, 366",,
"751, 312","751, 320","762, 311","763, 318",,
"532, 342","532, 349","543, 342","543, 349",,
"674, 344","673, 350","686, 344","686, 350",,
"663, 355","663, 361","674, 355","674, 361",,
"643, 292","643, 297","653, 292","653, 296",,
"680, 371","680, 375","688, 370","688, 375",,
"614, 325","616, 365","695, 321","697, 361",,
"717, 306","725, 348","785, 300","791, 339",,
"606, 365","604, 405","674, 364","673, 405",,
"758, 321","766, 363","813, 315","820, 354",,
"571, 354","569, 393","627, 353","625, 393",,
"652, 313","653, 339","705, 310","706, 336",,
"652, 333","656, 361","696, 330","699, 356",,
"621, 353","620, 379","666, 351","665, 377",,
"689, 292","693, 319","725, 289","729, 315",,
"541, 308","538, 334","577, 309","575, 336",,
"657, 349","657, 369","696, 348","697, 367",,
"704, 359","706, 379","735, 357","738, 376",,
"650, 317","649, 336","683, 315","683, 335",,
"780, 290","783, 310","808, 289","811, 309",,
"576, 360","574, 379","602, 360","600, 380",,
"625, 267","624, 281","658, 268","657, 283",,
"527, 275","523, 290","553, 276","549, 291",,
"629, 427","631, 443","661, 427","663, 443",,
"1233, 260","1233, 279","1273, 263","1274, 282",,
"496, 319","491, 334","519, 320","514, 335",,
"573, 241","576, 258","598, 224","600, 260",,
"625, 260","625, 271","648, 261","648, 272",,
"524, 278","521, 288","542, 279","539, 289",,
"549, 325","549, 334","569, 325","570, 335",,
"1206, 296","1206, 308","1232, 298","1233, 310",,
"529, 322","525, 331","543, 323","540, 332",,
"675, 292","676, 302","691, 295","692, 305",,
"465, 264","457, 340","621, 274","616, 350",,
"423, 207","402, 276","551, 217","533, 294",,
"603, 300","607, 373","733, 310","739, 381",,
"1078, 320","1083, 409","1265, 330","1275, 420",,
"378, 232","350, 298","486, 245","460, 320",,
"675, 296","687, 374","793, 303","807, 376",,
"622, 280","621, 288","638, 281","638, 289",,
"593, 277","591, 285","606, 278","605, 285",,
"645, 355","646, 362","660, 356","661, 363",,
"0, 0","0, 0","0, 0","0, 0",,
"549, 226","547, 235","561, 227","559, 235",,
"648, 276","648, 284","660, 278","661, 286",,
"597, 272","597, 279","610, 273","610, 279",,
"642, 354","642, 360","654, 354","654, 361",,
"1231, 391","1231, 399","1248, 393","1249, 400",,
"593, 263","593, 269","605, 264","605, 269",,
"637, 310","637, 315","647, 310","647, 315",,
"1182, 326","1182, 332","1197, 327","1197, 333",,
"580, 243","575, 281","659, 248","658, 287",,
"426, 271","415, 307","491, 275","482, 313",,
"552, 353","554, 391","620, 359","624, 396",,
"0, 0","0, 0","0, 0","0, 0",,
"439, 204","425, 240","495, 210","482, 249",,
"636, 305","642, 345","695, 310","702, 348",,
"589, 238","586, 264","643, 241","641, 268",,
"531, 301","524, 325","574, 304","567, 329",,
"600, 408","601, 433","647, 411","650, 437",,
"1150, 308","1151, 338","1213, 314","1215, 344",,
"576, 353","567, 377","612, 335","605, 380",,
"586, 238","589, 264","625, 242","629, 268",,
"588, 258","587, 278","628, 260","627, 280",,
"527, 289","522, 307","560, 291","555, 310",,
"602, 444","603, 464","638, 448","640, 467",,
"0, 0","0, 0","0, 0","0, 0",,
"513, 319","506, 337","541, 321","535, 341",,
"680, 231","683, 251","710, 233","713, 254",,
"559, 374","558, 391","591, 376","590, 393",,
"491, 348","488, 365","517, 350","514, 367",,
"630, 360","630, 375","657, 361","657, 377",,
"480, 339","477, 355","502, 342","499, 358",,
"604, 253","605, 270","627, 254","627, 271",,
"602, 373","602, 384","623, 373","623, 384",,
"538, 345","538, 357","557, 346","555, 357",,
"630, 365","630, 377","649, 366","649, 377",,
"548, 335","546, 346","563, 336","560, 348",,
"655, 278","655, 289","671, 280","671, 291",,
"511, 375","507, 452","660, 383","658, 460",,
"416, 282","406, 357","547, 299","536, 382",,
"597, 377","598, 455","735, 376","737, 452",,
"306, 280","291, 359","421, 307","406, 391",,
"678, 365","683, 448","800, 354","806, 431",,
"596, 386","596, 394","612, 386","612, 395",,
"568, 330","567, 339","582, 331","581, 340",,
"698, 358","698, 367","712, 359","712, 368",,
"489, 406","489, 415","501, 406","500, 415",,
"783, 304","783, 313","795, 304","795, 313",,
"574, 384","574, 390","587, 384","587, 391",,
"628, 381","628, 387","638, 381","638, 387",,
"568, 355","568, 361","579, 356","579, 362",,
"609, 370","609, 377","618, 371","618, 377",,
"568, 348","567, 386","640, 352","640, 390",,
"429, 394","422, 432","493, 401","486, 442",,
"620, 334","621, 374","692, 335","693, 374",,
"492, 306","484, 343","545, 315","537, 354",,
"712, 357","713, 399","771, 358","774, 398",,
"594, 361","593, 387","642, 364","642, 390",,
"460, 365","456, 390","503, 369","499, 395",,
"633, 306","633, 332","680, 308","680, 334",,
"480, 360","474, 386","515, 365","510, 392",,
"654, 379","656, 404","690, 378","693, 402",,
"552, 384","551, 403","591, 386","591, 405",,
"537, 357","534, 377","569, 360","566, 380",,
"631, 342","631, 361","665, 343","665, 363",,
"490, 338","485, 357","516, 340","512, 361",,
"634, 315","634, 335","661, 316","663, 335",,
"603, 325","603, 340","633, 326","633, 340",,
"552, 351","550, 366","578, 352","576, 367",,
"671, 311","671, 327","699, 312","429, 327",,
"499, 359","497, 373","522, 359","519, 375",,
"676, 353","678, 369","700, 355","700, 370",,
"583, 324","583, 334","603, 324","603, 334",,
"573, 354","572, 363","590, 354","589, 364",,
"640, 359","640, 369","658, 360","658, 369",,
"491, 379","491, 388","507, 378","506, 388",,
"694, 397","695, 407","710, 399","710, 409",,
"467, 308","463, 388","626, 312","624, 392",,
"448, 227","437, 298","571, 233","561, 310",,
"596, 272","601, 352","740, 270","748, 347",,
"340, 235","326, 307","445, 240","430, 320",,
"715, 202","728, 289","846, 193","860, 273",,
"583, 322","583, 330","598, 323","598, 330",,
"595, 371","595, 377","608, 371","607, 378",,
"649, 370","649, 378","664, 370","664, 378",,
"541, 290","540, 298","552, 290","1001, 298",,
"699, 346","699, 355","710, 347","711, 355",,
"631, 313","631, 320","644, 313","644, 320",,
"627, 398","627, 405","638, 398","638, 405",,
"635, 344","635, 350","645, 344","645, 350",,
"538, 302","535, 341","615, 303","615, 342",,
"466, 301","461, 338","529, 304","523, 341",,
"562, 281","565, 320","634, 281","637, 320",,
"398, 317","391, 354","449, 319","442, 358",,
"690, 321","695, 362","748, 332","754, 361",,
"556, 310","556, 335","607, 311","607, 336",,
"475, 318","471, 343","518, 319","514, 344",,
"602, 336","603, 363","648, 338","650, 363",,
"437, 328","433, 353","473, 330","469, 355",,
"648, 341","652, 367","685, 341","689, 367",,
"587, 296","587, 315","624, 297","624, 315",,
"571, 314","569, 332","602, 315","599, 334",,
"636, 325","637, 344","671, 326","672, 345",,
"526, 372","524, 390","553, 372","550, 391",,
"676, 355","679, 375","704, 356","707, 375",,
"576, 327","575, 343","607, 329","606, 345",,
"562, 361","560, 377","587, 363","585, 379",,
"624, 380","624, 396","651, 381","651, 396",,
"462, 384","459, 399","483, 386","480, 402",,
"664, 342","664, 358","687, 342","688, 358",,
"607, 307","607, 318","627, 308","627, 319",,
"564, 332","563, 342","581, 333","580, 343",,
"594, 367","594, 379","613, 368","613, 379",,
"492, 329","490, 339","506, 330","505, 341",,
"629, 317","629, 329","644, 319","645, 329",,
"489, 476","485, 558","647, 484","643, 564",,
"333, 431","319, 509","468, 461","454, 543",,
"585, 463","587, 541","717, 455","721, 528",,
"285, 452","271, 527","399, 487","384, 572",,
"707, 456","712, 533","821, 435","827, 508",,
"544, 320","544, 329","560, 321","560, 329",,
"554, 299","553, 308","567, 299","567, 308",,
"612, 365","612, 373","626, 365","626, 374",,
"527, 271","526, 279","538, 271","538, 280",,
"633, 315","633, 323","645, 316","645, 323",,
"649, 302","649, 310","661, 303","661, 310",,
"664, 371","665, 378","676, 372","676, 378",,
"612, 365","612, 373","626, 366","626, 374",,
"563, 382","561, 422","642, 386","641, 427",,
"452, 399","445, 437","513, 407","508, 447",,
"607, 391","607, 430","677, 390","678, 429",,
"316, 419","308, 459","369, 429","362, 471",,
"686, 408","687, 449","742, 406","745, 444",,
"541, 362","540, 388","592, 364","591, 391",,
"447, 362","443, 388","489, 367","486, 393",,
"577, 390","577, 416","623, 391","624, 417",,
"407, 403","402, 430","442, 408","437, 436",,
"660, 359","662, 385","698, 356","701, 382",,
"595, 371","594, 390","633, 373","633, 392",,
"500, 383","497, 402","530, 386","528, 405",,
"616, 346","616, 367","651, 347","651, 367",,
"451, 393","447, 413","476, 396","473, 417",,
"629, 366","630, 386","657, 367","658, 386",,
"600, 355","600, 371","631, 357","631, 372",,
"580, 285","578, 299","606, 287","603, 302",,
"613, 403","613, 419","641, 404","642, 420",,
"524, 384","521, 398","544, 385","541, 401",,
"673, 346","674, 361","696, 347","697, 362",,
"609, 323","609, 334","630, 324","630, 335",,
"498, 296","496, 306","514, 297","513, 307",,
"656, 398","656, 408","675, 398","676, 409",,
"511, 404","508, 413","525, 404","523, 415",,
"641, 320","641, 331","657, 321","657, 332",,
"509, 341","504, 425","675, 349","672, 434",,
"446, 275","434, 354","583, 287","571, 372",,
"649, 336","651, 416","787, 340","790, 416",,
"326, 248","304, 326","435, 270","414, 359",,
"665, 269","668, 352","782, 270","785, 348",,
"638, 346","638, 354","654, 347","654, 355",,
"586, 285","585, 291","599, 285","598, 292",,
"609, 402","609, 410","623, 403","623, 411",,
"506, 361","506, 367","517, 361","516, 368",,
"677, 306","677, 313","688, 306","689, 314",,
"702, 340","702, 345","715, 340","715, 346",,
"611, 403","611, 410","623, 404","623, 410",,
"589, 372","589, 377","598, 372","598, 377",,
"557, 357","554, 397","637, 361","635, 402",,
"470, 326","462, 363","532, 331","525, 371",,
"576, 382","577, 422","646, 383","648, 422",,
"386, 386","377, 425","437, 392","427, 434",,
"711, 346","713, 385","768, 348","770, 386",,
"585, 345","583, 370","637, 348","636, 373",,
"528, 306","524, 331","570, 309","565, 335",,
"570, 402","570, 427","617, 404","617, 429",,
"472, 395","466, 420","506, 398","500, 425",,
"670, 337","673, 363","708, 337","711, 362",,
"556, 349","554, 368","594, 352","593, 371",,
"553, 288","549, 306","584, 290","580, 309",,
"653, 358","653, 378","690, 360","691, 380",,
"505, 398","502, 416","531, 400","528, 419",,
"698, 368","700, 388","726, 368","728, 388",,
"592, 338","592, 354","623, 340","624, 356",,
"579, 343","577, 359","605, 345","603, 361",,
"596, 342","596, 358","623, 343","624, 359",,
"495, 322","493, 337","517, 323","515, 339",,
"696, 339","696, 355","718, 340","718, 355",,
"600, 341","600, 352","620, 342","620, 353",,
"559, 335","558, 345","576, 336","575, 346",,
"692, 356","692, 366","711, 356","711, 367",,
"507, 330","505, 340","521, 331","520, 341",,
"669, 339","669, 349","683, 340","683, 350",,
"449, 354","445, 444","623, 361","621, 449",,
"393, 310","385, 392","536, 319","529, 407",,
"639, 335","641, 417","776, 336","778, 414",,
"377, 312","364, 393","494, 330","480, 419",,
"650, 298","654, 377","758, 297","762, 367",,
"606, 348","606, 355","621, 348","621, 356",,
"539, 322","538, 329","551, 322","551, 329",,
"538, 358","538, 366","552, 359","552, 366",,
"518, 311","517, 318","529, 312","529, 320",,
"737, 342","737, 349","748, 342","748, 349",,
"594, 344","594, 350","606, 344","607, 350",,
"606, 355","606, 361","617, 355","617, 361",,
"627, 292","627, 296","637, 292","637, 297",,
"592, 370","592, 375","600, 371","600, 375",,
"585, 321","583, 361","666, 325","664, 365",,
"495, 300","489, 339","563, 306","555, 348",,
"606, 364","607, 405","674, 365","676, 405",,
"467, 315","460, 354","522, 321","514, 363",,
"653, 353","655, 393","709, 354","711, 393",,
"575, 310","574, 336","628, 313","627, 339",,
"584, 330","581, 356","628, 333","624, 361",,
"614, 351","615, 377","659, 353","660, 379",,
"555, 289","551, 315","591, 292","587, 319",,
"703, 309","705, 336","739, 308","742, 334",,
"584, 348","583, 367","623, 349","623, 369",,
"545, 357","542, 376","576, 359","574, 379",,
"597, 315","597, 335","630, 317","631, 336",,
"472, 289","469, 309","500, 290","497, 310",,
"678, 360","680, 380","704, 360","706, 379",,
"680, 276","676, 290","650, 266","645, 280",,
"577, 256","570, 271","552, 249","545, 262",,
"641, 430","641, 446","612, 422","611, 438",,
"1276, 430","1273, 448","1238, 417","1235, 435",,
"532, 290","524, 303","512, 283","504, 296",,
"628, 236","627, 252","606, 228","605, 244",,
"672, 266","669, 276","652, 260","649, 269",,
"566, 256","561, 265","549, 250","545, 259",,
"579, 307","578, 318","561, 302","560, 312",,
"1227, 453","1225, 465","1203, 444","1201, 456",,
"555, 299","551, 308","542, 294","537, 303",,
"705, 309","705, 319","691, 304","690, 314",,
"643, 272","618, 345","497, 222","468, 292",,
"589, 199","553, 269","471, 155","432, 219",,
"742, 336","731, 405","620, 293","605, 364",,
"1251, 493","1237, 582","1073, 435","1055, 521",,
"519, 209","476, 274","418, 168","375, 225",,
"802, 344","797, 418","690, 308","682, 386",,
"658, 283","656, 290","643, 278","641, 286",,
"628, 271","624, 278","616, 268","612, 274",,
"660, 360","660, 367","646, 356","646, 364",,
"1255, 545","1254, 554","1240, 541","1239, 550",,
"598, 210","594, 218","587, 207","583, 215",,
"679, 284","680, 293","669, 281","668, 289",,
"633, 268","631, 274","621, 264","619, 269",,
"654, 357","654, 363","643, 354","643, 360",,
"1218, 548","1218, 555","1203, 543","1202, 550",,
"630, 258","630, 263","620, 254","619, 259",,
"659, 313","659, 318","650, 310","650, 315",,
"1185, 471","1185, 477","1172, 467","1172, 473",,
"687, 257","674, 294","612, 231","598, 267",,
"518, 239","498, 274","456, 219","437, 251",,
"621, 354","615, 391","556, 331","550, 367",,
"0, 0","0, 0 ","0, 0","0, 0",,
"538, 177","516, 212","486, 158","463, 189",,
"706, 326","703, 364","650, 306","647, 345",,
"673, 246","664, 271","623, 229","613, 253",,
"590, 288","578, 311","549, 274","536, 296",,
"632, 411","629, 436","589, 396","585, 421",,
"1205, 464","1200, 493","1145, 443","1140, 471",,
"613, 348","600, 371","580, 336","565, 358",,
"655, 242","652, 267","619, 228","617, 354",,
"654, 261","648, 279","617, 248","609, 267",,
"580, 272","571, 289","549, 262","539, 278",,
"614, 443","612, 462","581, 432","579, 451",,
"1277, 448","1273, 471","1231, 432","1226, 454",,
"554, 296","543, 313","528, 288","517, 304",,
"740, 256","738, 276","712, 246","710, 266",,
"588, 363","583, 378","559, 353","554, 368",,
"523, 319","517, 333","499, 310","492, 324",,
"656, 364","653, 380","630, 357","626, 372",,
"511, 306","504, 321","491, 298","484, 313",,
"654, 254","651, 270","633, 248","630, 264",,
"619, 368","616, 378","600, 362","597, 372",,
"562, 325","558, 335","547, 319","542, 329",,
"646, 368","644, 378","629, 363","627, 374",,
"571, 317","566, 327","557, 313","553, 322",,
"689, 291","687, 301","676, 285","674, 296",,
"654, 388","630, 459","513, 342","488, 413",,
"565, 278","533, 353","445, 227","416, 295",,
"728, 399","711, 472","594, 366","575, 441",,
"441, 253","404, 328","338, 198","303, 268",,
"795, 395","783, 471","675, 375","660, 456",,
"633, 378","604, 386","591, 373","589, 382",,
"591, 316","588, 325","579, 312","575, 321",,
"709, 377","708, 386","696, 373","694, 382",,
"494, 368","491, 377","482, 366","480, 374",,
"804, 346","802, 355","792, 342","791, 352",,
"582, 369","580, 375","570, 366","568, 372",,
"633, 380","632, 386","622, 376","621, 383",,
"582, 340","581, 345","572, 337","571, 342",,
"616, 364","615, 370","607, 362","606, 367",,
"643, 355","631, 388","574, 330","562, 366",,
"486, 362","470, 399","427, 339","410, 373",,
"697, 349","688, 387","628, 330","618, 368",,
"560, 291","541, 327","511, 269","494, 302",,
"766, 391","760, 430","710, 377","702, 317",,
"641, 364","633, 387","596, 350","588, 373",,
"505, 333","495, 357","465, 318","454, 342",,
"691, 320","685, 344","647, 306","641, 332",,
"517, 333","506, 356","485, 319","473, 342",,
"682, 390","680, 414","648, 382","645, 408",,
"586, 372","580, 391","549, 360","543, 379",,
"571, 342","562, 360","541, 330","533, 349",,
"668, 350","664, 368","635, 340","631, 359",,
"525, 309","515, 327","500, 299","492, 317",,
"671, 322","668, 342","645, 315","641, 335",,
"642, 325","638, 339","613, 316","609, 331",,
"582, 336","576, 350","558, 328","552, 342",,
"708, 328","706, 343","682, 320","680, 336",,
"526, 328","519, 342","505, 322","499, 335",,
"698, 369","696, 384","678, 363","675, 378",,
"614, 316","611, 325","594, 310","591, 320",,
"593, 341","589, 351","577, 337","573, 345",,
"657, 363","656, 374","640, 359","639, 369",,
"507, 343","503, 353","492, 339","488, 347",,
"697, 415","696, 425","683, 410","682, 421",,
"639, 310","616, 387","487, 265","462, 341",,
"605, 220","575, 290","490, 182","460, 246",,
"760, 299","748, 375","620, 263","605, 342",,
"482, 193","447, 268","384, 161","351, 228",,
"882, 252","875, 333","753, 227","743, 314",,
"609, 312","608, 320","593, 309","592, 316",,
"606, 362","603, 369","594, 358","592, 365",,
"659, 376","659, 383","646, 372","646, 380",,
"573, 269","570, 277","561, 266","559, 273",,
"710, 366","710, 373","699, 362","699, 370",,
"656, 315","655, 322","644, 312","642, 318",,
"628, 396","628, 403","617, 393","617, 400",,
"648, 346","648, 351","639, 343","639, 349",,
"630, 299","619, 336","557, 277","545, 314",,
"547, 276","531, 312","488, 258","473, 291",,
"653, 281","648, 320","584, 263","577, 302",,
"466, 271","448, 307","418, 255","401, 289",,
"753, 350","749, 389","697, 336","693, 376",,
"621, 304","613, 328","572, 290","565, 314",,
"532, 289","522, 312","491, 277","482, 299",,
"653, 341","649, 365","609, 327","604, 353",,
"487, 287","475, 311","452, 276","441, 299",,
"688, 353","687, 379","652, 343","650, 370",,
"641, 295","636, 313","605, 284","600, 303",,
"615, 306","607, 325","585, 297","577, 315",,
"678, 334","676, 353","644, 325","642, 345",,
"553, 349","545, 367","527, 341","520, 359",,
"702, 372","701, 391","676, 365","674, 385",,
"616, 321","611, 337","586, 311","581, 327",,
"588, 349","582, 364","564, 341","558, 356",,
"645, 383","642, 398","619, 374","615, 391",,
"481, 344","474, 360","461, 337","455, 352",,
"689, 354","687, 370","668, 348","665, 365",,
"641, 306","638, 317","621, 300","618, 311",,
